Food,Brand,calories,servings,ounces,grams,cups
snickers,Mars,250,1,0,0,0
coffee,home,110,1,13,0,0
oatmeal apple,quacker,160,1,0,0,0.66
milk 2%,none,130,1,8,0,1
apple,none,95,1,0,0,0
bread buttermilk,arnold,120,1,0,0,0
mayonaise,Burmans,100,1,0,13,0
turkey breast,lunch mate,50,1,0,56,0
potato salad,aldi,240,1,0,0,0.5
coke zero,coke,0,1,8,0,1
pizza Margherita,bertuccis,180,1,0,0,0
beer summer ale,sam adams,166,1,16,0,0
chicken melt ,bremmer,160,1,0,0,0
cheese penguines,bremmer,140,1,0,30,0
fiber wrap,aldi,90,1,0,0,0
swiss cake roll,little debbie,280,1,0,0,0
pizza sauce,market basket,90,1,0,0,0.25
pizza dough,market basket,120,1,0,0,0
shredded cheese,market basket,110,1,0,0,0.25
mixed vegetables,aldi,50,1,0,0,0.66
pop tart brown sugar,0,210,1,0,0,0
scone,ritas,480,1,0,0,0
adobo chicken,Whole and Simple,340,1,0,0,0
potato hash brown,aldi,150,1,0,0,0
large white egg,great value,70,1,0,0,0
large cheese pizza,piezonis,226,1,0,0,0
garlic bread,Piezonis,226,1,0,0,0
hamburger bun,trucchis,120,1,0,0,0
Pulled chicken,aldi,190,1,0,0,0
white bread,aldi,80,1,0,0,0
peanut butter,generic,94,1,0,0,0
grilled chicken breast,ritas,180,1,6,0,0
rye bread,ritas,166,1,0,0,0
honey,generic,21,1,0,0,0
espresso,recipe,97,1,0,0,0
Pad Thai,Annie Chuns,490,1,0,0,0
canned pair,,100,1,0,0,0
fruit and grain cereal bar,aldi,130,1,0,0,0
large biscoff cookies,biscoff,60,1,0,0,0
sugar,sugar,15,1,0,15,0
udon soup bowl,fusia,220,1,0,0,0
pear,fruit,100,1,0,0,0
dunkin coffee small regular,dunkin,120,1,0,0,0
bagel,thomas,280,1,0,0,0
cream cheese whipped,kraft,75,1,0,0,0
kiwi fruit,fuit,42,1,0,0,0
coffee frappuccino,starbucks,210,1,0,0,0
bread soft white,wellsley farms,60,1,0,0,0
prima della turkey,walmart,30,1,1,0,0
honey mustard 1tsp,aldi,10,1,0,0,0
pop corn pop secret premium 1cu,pop secret,120,1,0,0,0
american cheese 1sl,kraft,70,1,0,0,0
bubba burger,bubba,420,1,0,0,0
ketchup 1Tbs,generic,20,1,0,0,0
klondike bar,klondike,250,1,0,0,0
bulkie roll,Calise,170,1,0,0,0
cinnamon crunch cereal,aldi,180,1,0,0,0
cinnamon pull apart,pilsbury,240,1,0,0,0
